Ord1,Ord2,Ord3,HarVerb,Verb
Drage,Lerke,Spinat,HarKranglet,Krangler
Drakt,Lerret,Spindel,HarLaget,Lager
Drenasje,Lesk,Spion,HarLagret,Lagrer
Dreng,Lest,Spiral,HarLatt,Later
Dresin,Liane,Spire,HarLesset,Lesser
Dressing,Liga,Sport,HarLiknet,Likner
Drops,Linjal,Sprekk,HarLosset,Losser
Drøs,Lisse,Sprøyt,HarLuktet,Lukter
Drøvel,List,Spytt,HarLyttet,Lytter
Drue,Lo,Stabbur,HarManglet,Mangler
Drunse,Lomme,Stake,HarMerket,Merker
Dryss,Los,Stamme,HarMistet,Mister
Due,Løve,Stamp,HarMobbet,Mobber
Duft,Lugar,Stang,HarNikket,Nikker
Dugg,Lugg,Stappe,HarNærmet,Nærmer
Dunst,Lukt,Stativ,HarOmfavnet,Omfavner
Dur,Lunge,Staude,HarOppmuntret,Oppmuntrer
Dus,Lunte,Staur,HarOpprettet,Oppretter
Dusj,Lupe,Stav,HarOrket,Orker
Dyne,Lur,Stift,HarPantet,Panter
Dynge,Lykt,Stim,HarPasset,Passer
Dyse,Lymfe,Sting,HarPlukket,Plukker
Egg,Magi,Stjert,HarPratet,Prater
Eir,Magma,Stokk,HarPrutet,Pruter
Eksem,Mais,Stol,HarPusset,Pusser
Emalje,Majones,Stolpe,HarPustet,Puster
Emblem,Manesj,Støpsel,HarPyntetSeg,PynterSeg
Entré,Mappe,Støvel,HarRegnet,Regner
Eske,Marg,Stråle,HarRenset,Renser
Etappe,Marinade,Streptokokk,HarRettet,Retter
Etui,Marmelade,Strikk,HarRyddet,Rydder
Farse,Maske,Strømpe,HarSamlet,Samler
Farsott,Massasje,Strøssel,HarSammenlignet,Sammenligner
Faster,Masse,Struma,HarSavnet,Savner
Fatle,Mast,Struts,HarSenket,Senker
Fe,Matiné,Stuing,HarSentret,Sentrer
Feber,Matros,Sukett,HarSjekket,Sjekker
Fedme,Mæle,Sule,HarSkaffet,Skaffer
Fele,Megge,Suppe,HarSkyndetSeg,SkynderSeg
Felg,Melk,Sus,HarSkåret,Skårer
Ferge,Membran,Svie,HarSladret,Sladrer
Fett,Midd,Svinn,HarSluttet,Slutter
Fiken,Milt,Sviske,HarSnakket,Snakker
Filipens,Molo,Svor,HarSnekret,Snekrer
Fille,Moms,Svulst,HarSnufset,Snufser
Filt,Monokkel,Sydvest,HarSovnet,Sovner
Finger,Monter,Sykdom,HarSpikket,Spikker
Finne,Morfin,Syklus,HarSpleiset,Spleiser
Fjes,Mormon,Syl,HarStablet,Stabler
Fjon,Mort,Sylte,HarStemplet,Stempler
Fjøl,Mos,Taffel,HarStoppet,Stopper
Flak,Moster,Talg,HarStrikket,Strikker
Flanell,Møne,Tallerken,HarStøvsuget,Støvsuger
Flapp,Mørtel,Talong,HarSurfet,Surfer
Flåte,Mudder,Tang,HarSveiset,Sveiser
Flekk,Mule,Tann,HarTilpasset,Tilpasser
Flenge,Munk,Tante,HarTittet,Titter
Flens,Muskedunder,Tapet,HarTrillet,Triller
Flesk,Muslim,Tapir,HarTrøstet,Trøster
Flod,Mynt,Tapp,HarTvinnet,Tvinner
Flor,Navle,Tarm,HarTørket,Tørke
Flørt,Nebb,Taske,HarTøyset,Tøyser
Fløte,Negl,Tast,HarUndertegnet,Undertegner
Flue,Nek,Tater,HarUtdannetSeg,UtdannerSeg
Flukt,Nektar,Tavle,HarVandret,Vandrer
Flygel,Nepe,Tå,HarVasket,Vasker
Fold,Nerve,Tår,HarVekslet,Veksler
Fonn,Nese,Te,HarVentet,Venter
Fontene,Nestle,Teater,HarVinket,Vinker
Forelegg,Neve,Teft,HarVirket,Virker
Forheng,Nips,Tentakkel,HarVåknet,Våkner
Foster,Nisje,Teppe,HarÆret,Ærer
Fot,Nisse,Terreng,HarØnsket,Ønsker
Fødsel,Niste,Terskel,HarÅpnet,Åpner
Frityr,Nomade,Tine,HarBegynt,Begynner
Fromasj,Nøkkel,Tinning,HarAkseptert,Aksepterer
Frø,Nøtt,Tivoli,HarAktivert,Aktiverer
Frøken,Nupp,Toddy,HarBestemt,Bestemmer
Frue,Nylon,Tomat,HarBetalt,Betaler
Furu,Nymf,Tommel,HarBrent,Brenner
Futteral,Nyp,Tøddel,HarBrukt,Bruker
Galle,Nype,Tønne,HarBråkt,Bråker
Gamasje,Nyre,Tøs,HarDiskutert,Diskuterer
Gamp,Nys,Tøyte,HarDrømt,Drømmer
Gane,Nytelse,Trakt,HarDøpt,Døper
Garasje,Oberst,Traktor,HarEksistert,Eksisterer
Garnityr,Omhu,Trall,HarEkspedert,Ekspederer
Gasje,Omkrets,Tram,HarEndt,Ender
Gebiss,Onkel,Trampett,HarFascinert,Fascinerer
Gelender,Opium,Trampoline,HarFavorisert,Favoriserer
